iter	RMSE
0	16.73034407
1	16.47152785
2	16.23387584
3	15.98068145
4	15.78004034
5	15.54744729
6	15.38018681
7	15.17915901
8	14.99264434
9	14.8073889
10	14.62361174
11	14.43953578
12	14.2856856
13	14.05234913
14	13.87081494
15	13.68474939
16	13.51882052
17	13.33283664
18	13.17560717
19	12.99733468
20	12.87218995
21	12.73027082
22	12.5872038
23	12.42576041
24	12.26837357
25	12.11472746
26	11.98391255
27	11.82563591
28	11.6681444
29	11.52696114
30	11.39832192
31	11.25801714
32	11.10899946
33	10.98831584
34	10.83527552
35	10.70088518
36	10.56227547
37	10.42631172
38	10.32327666
39	10.21276271
40	10.08631282
41	9.943569328
42	9.853719974
43	9.741062608
44	9.633439059
45	9.536141683
46	9.430551005
47	9.32090395
48	9.222997562
49	9.112262947
50	8.997786656
51	8.917479023
52	8.808079747
53	8.703522668
54	8.625169102
55	8.55035766
56	8.471396711
57	8.378349538
58	8.281580177
59	8.181394433
60	8.096261402
61	8.008420818
62	7.930236695
63	7.83273106
64	7.747352866
65	7.672358911
66	7.601621599
67	7.52618591
68	7.442679692
69	7.375704789
70	7.310045987
71	7.242721976
72	7.171348021
73	7.105548353
74	7.043602051
75	6.965646403
76	6.890901367
77	6.827029902
78	6.7447589
79	6.682710579
80	6.623430963
81	6.560925082
82	6.491269194
83	6.435397673
84	6.384400474
85	6.311101639
86	6.264848543
87	6.230825333
88	6.184477334
89	6.1181094
90	6.068451782
91	6.009777015
92	5.95510135
93	5.901542816
94	5.840080993
95	5.789924482
96	5.735177864
97	5.685034272
98	5.633739196
99	5.587105512
100	5.544319858
101	5.506431714
102	5.464666218
103	5.409986889
104	5.373816416
105	5.331347377
106	5.297038449
107	5.258209174
108	5.216359723
109	5.168910534
110	5.13261303
111	5.095482979
112	5.057758784
113	5.026146286
114	4.989976688
115	4.949023736
116	4.913846206
117	4.878325447
118	4.838089994
119	4.801242942
120	4.766891191
121	4.724531223
122	4.692658407
123	4.663148937
124	4.642656892
125	4.613566686
126	4.576137177
127	4.53212561
128	4.504558434
129	4.468337926
130	4.443240355
131	4.415494396
132	4.386878759
133	4.350226132
134	4.340019748
135	4.309892458
136	4.285076763
137	4.256579424
138	4.223048766
139	4.211444486
140	4.192778537
141	4.169955973
142	4.144149246
143	4.121170365
144	4.09795253
145	4.06707643
146	4.046850602
147	4.017614918
148	3.989541252
149	3.970317477
150	3.942947441
151	3.919035868
152	3.884705091
153	3.864396336
154	3.837612493
155	3.812789727
