iter	Passed	Remaining
0	143	143567
1	143	71848
2	144	47958
3	144	36014
4	145	28863
5	145	24082
6	145	20667
7	145	18102
8	146	16110
9	146	14516
10	147	13220
11	147	12162
12	148	11248
13	148	10452
14	148	9762
15	148	9161
16	149	8631
17	149	8152
18	149	7731
19	150	7351
20	150	7009
21	150	6697
22	150	6412
23	151	6151
24	151	5911
25	153	5732
26	153	5546
27	154	5359
28	154	5180
29	155	5014
30	155	4858
31	155	4714
32	156	4576
33	156	4446
34	156	4323
35	157	4207
36	157	4097
37	157	3993
38	158	3894
39	158	3801
40	158	3709
41	159	3635
42	160	3566
43	161	3501
44	161	3434
45	162	3371
46	163	3312
47	163	3247
48	164	3185
49	164	3124
50	164	3065
51	165	3009
52	165	2954
53	165	2902
54	166	2857
55	166	2810
56	167	2764
57	167	2718
58	167	2673
59	168	2634
60	168	2597
61	169	2557
62	169	2518
63	169	2481
64	169	2445
65	170	2412
66	171	2381
67	171	2350
68	171	2318
69	172	2287
70	172	2258
71	173	2230
72	173	2202
73	173	2173
74	173	2145
75	174	2119
76	174	2094
77	175	2069
78	175	2044
79	175	2020
80	175	1996
81	176	1972
82	176	1950
83	176	1929
84	177	1908
85	177	1890
86	178	1871
87	178	1851
88	178	1831
89	179	1812
90	179	1794
91	180	1777
92	180	1764
93	181	1747
94	181	1730
95	181	1713
96	182	1696
97	182	1680
98	182	1663
99	183	1647
100	183	1630
101	183	1615
102	183	1600
103	184	1586
104	184	1571
105	184	1557
106	184	1541
107	185	1528
108	185	1515
109	185	1502
110	186	1489
111	186	1476
112	186	1463
113	186	1451
114	187	1440
115	187	1428
116	187	1416
117	188	1405
118	188	1394
119	188	1383
120	188	1372
121	189	1361
122	189	1351
123	189	1340
124	189	1329
125	190	1319
126	190	1310
127	190	1300
128	191	1290
129	191	1281
130	191	1271
131	191	1261
132	192	1252
133	192	1243
134	192	1233
135	192	1225
136	193	1216
137	193	1208
138	193	1200
139	193	1191
140	194	1183
141	194	1175
142	195	1168
143	195	1161
144	196	1157
145	196	1149
146	196	1142
147	197	1135
148	197	1128
149	197	1121
150	198	1114
151	198	1108
152	198	1101
153	199	1094
154	199	1087
155	199	1081
156	200	1075
157	201	1073
158	201	1067
159	202	1061
160	202	1055
161	203	1050
162	203	1044
163	203	1038
164	204	1033
165	204	1027
166	204	1021
167	205	1015
168	205	1009
169	205	1004
170	206	998
171	206	993
172	206	987
173	206	981
174	207	976
175	207	970
176	207	966
177	208	960
178	208	955
179	208	950
180	208	945
181	209	939
182	209	934
183	209	929
184	209	924
185	210	920
186	210	916
187	211	911
188	211	907
189	211	903
190	212	898
191	212	894
192	213	890
193	213	886
194	213	881
195	213	877
196	214	872
197	214	869
198	214	864
199	215	860
200	215	856
201	215	852
202	215	847
203	216	843
204	216	839
205	216	835
206	217	831
207	217	826
208	217	822
209	217	818
210	217	814
211	218	810
212	218	806
213	218	802
214	218	799
215	219	795
216	219	791
217	219	787
218	219	784
219	220	780
220	220	777
221	220	773
222	220	770
223	221	766
224	221	763
225	221	759
226	222	756
227	222	752
228	222	749
229	222	745
230	222	741
231	223	738
232	223	735
233	223	731
234	223	728
235	224	725
236	224	723
237	224	720
238	225	716
239	225	714
240	225	711
241	226	708
242	226	705
243	226	702
244	227	699
245	227	697
246	227	694
247	228	691
248	228	689
249	228	686
250	229	684
251	229	681
252	229	678
253	230	676
254	230	673
255	231	671
256	231	669
257	231	666
258	232	663
259	232	661
260	232	659
261	233	657
262	234	656
263	235	655
264	235	653
265	236	652
266	237	651
267	237	649
268	238	648
269	239	647
270	240	646
271	240	644
272	241	642
273	241	640
274	242	638
275	242	636
276	243	634
277	243	633
278	244	631
279	244	629
280	245	628
281	245	625
282	246	623
283	246	621
284	246	618
285	247	616
286	247	614
287	247	612
288	248	610
289	248	608
290	248	606
291	249	604
292	249	602
293	249	599
294	250	598
295	250	596
296	251	594
297	251	592
298	252	590
299	252	588
300	252	587
301	253	584
302	253	582
303	253	580
304	253	578
305	254	576
306	254	574
307	255	573
308	255	570
309	255	568
310	255	566
311	256	565
312	256	562
313	256	561
314	257	559
315	257	557
316	257	555
317	257	553
318	258	551
319	258	549
320	258	547
321	259	545
322	259	543
323	259	541
324	260	540
325	260	538
326	260	536
327	261	534
328	261	532
329	261	530
330	261	529
331	262	527
332	262	525
333	262	523
334	262	521
335	263	520
336	263	518
337	263	516
338	263	514
339	264	513
340	264	511
341	265	509
342	265	508
343	265	506
344	265	504
345	266	503
346	266	501
347	266	500
348	267	498
349	267	496
350	267	495
351	268	493
352	268	491
353	268	490
354	269	489
355	269	487
356	269	486
357	270	484
358	270	483
359	270	481
360	271	479
361	271	478
362	271	476
363	271	475
364	272	473
365	272	471
366	272	470
367	273	468
368	273	467
369	273	465
370	273	464
371	274	462
372	274	460
373	274	459
374	274	458
375	275	456
376	275	455
377	275	453
378	275	452
379	276	450
380	276	448
381	276	447
382	276	446
383	277	444
384	277	443
385	277	441
386	278	440
387	278	439
388	278	437
389	279	436
390	279	435
391	279	433
392	279	432
393	280	430
394	280	429
395	280	428
396	281	426
397	281	425
398	282	424
399	282	423
400	282	422
401	282	420
402	283	419
403	284	419
404	285	419
405	285	417
406	285	416
407	286	415
408	286	413
409	286	412
410	286	411
411	287	409
412	287	408
413	287	407
414	288	406
415	288	404
416	288	403
417	289	402
418	289	401
419	289	399
420	289	398
421	290	397
422	290	396
423	290	394
424	290	393
425	291	392
426	291	391
427	291	390
428	292	388
429	292	387
430	292	386
431	293	385
432	293	384
433	293	383
434	294	381
435	294	381
436	295	380
437	295	379
438	296	378
439	296	377
440	296	376
441	297	375
442	297	374
443	297	372
444	298	371
445	298	370
446	298	369
447	299	368
448	300	368
449	300	367
450	300	366
451	301	365
452	301	364
453	302	363
454	302	362
455	302	361
456	303	360
457	303	359
458	303	358
459	304	357
460	304	356
461	304	355
462	305	354
463	305	352
464	305	351
465	306	350
466	306	349
467	306	348
468	306	347
469	307	346
470	307	345
471	307	344
472	307	343
473	308	341
474	308	340
475	308	339
476	308	338
477	309	337
478	309	336
479	309	335
480	309	334
481	310	333
482	310	332
483	311	331
484	311	330
485	311	329
486	311	328
487	311	327
488	312	326
489	312	325
490	312	324
491	313	323
492	313	322
493	313	321
494	313	320
495	314	319
496	314	318
497	314	317
498	315	316
499	315	315
500	315	314
501	315	313
502	316	312
503	316	311
504	316	310
505	317	309
506	317	308
507	318	308
508	318	307
509	318	306
510	318	305
511	319	304
512	319	303
513	319	302
514	319	301
515	320	300
516	320	299
517	320	298
518	321	297
519	321	296
520	321	295
521	322	294
522	322	293
523	322	293
524	322	292
525	323	291
526	323	290
527	323	289
528	324	288
529	324	287
530	324	286
531	325	285
532	325	284
533	325	284
534	325	283
535	326	282
536	326	281
537	326	280
538	326	279
539	326	278
540	327	277
541	327	276
542	327	275
543	328	275
544	328	274
545	328	273
546	328	272
547	329	271
548	329	270
549	329	269
550	330	268
551	330	268
552	330	267
553	330	266
554	331	265
555	331	264
556	331	263
557	332	263
558	332	262
559	332	261
560	332	260
561	333	259
562	333	258
563	333	257
564	334	257
565	334	256
566	334	255
567	335	254
568	335	254
569	335	253
570	336	252
571	336	251
572	336	250
573	336	249
574	336	249
575	337	248
576	337	247
577	337	246
578	338	245
