iter	RMSE
0	16.72975678
1	16.47331971
2	16.22991775
3	16.03509978
4	15.83212421
5	15.60292498
6	15.35752407
7	15.18755021
8	14.99850038
9	14.80987522
10	14.60198153
11	14.38102385
12	14.19097509
13	13.97949419
14	13.77198594
15	13.60559874
16	13.42132511
17	13.28524139
18	13.10154095
19	12.92083627
20	12.76146824
21	12.60040179
22	12.47320429
23	12.30475633
24	12.147774
25	11.98993924
26	11.85906767
27	11.70421457
28	11.55412596
29	11.37751617
30	11.25415478
31	11.11933589
32	10.97021597
33	10.84556137
34	10.70441315
35	10.57552103
36	10.44066427
37	10.30516431
38	10.19626488
39	10.07663227
40	9.956234495
41	9.829271622
42	9.742528189
43	9.635608511
44	9.524825505
45	9.430959497
46	9.324998179
47	9.216586249
48	9.10528114
49	8.996913563
50	8.886155192
51	8.79581849
52	8.690064289
53	8.589296308
54	8.508071717
55	8.43162149
56	8.359417761
57	8.270126169
58	8.175806161
59	8.080263858
60	8.009003727
61	7.917141187
62	7.840738723
63	7.757914798
64	7.669615308
65	7.594832139
66	7.515424479
67	7.435233725
68	7.355444184
69	7.282539456
70	7.224126813
71	7.154082939
72	7.081377363
73	7.014752858
74	6.944200391
75	6.882539431
76	6.805763652
77	6.741684295
78	6.682126827
79	6.614530241
80	6.554448292
81	6.507764893
82	6.440312554
83	6.382114482
84	6.33183565
85	6.259320264
86	6.204367376
87	6.154440752
88	6.108426924
89	6.0506604
90	6.001813497
91	5.948859635
92	5.898037424
93	5.836142632
94	5.787177566
95	5.732353693
96	5.689916293
97	5.653330265
98	5.601299348
99	5.5666785
100	5.516744753
101	5.467622444
102	5.422566263
103	5.378281303
104	5.340167812
105	5.291402887
106	5.251955157
107	5.207587768
108	5.172956954
109	5.136866438
110	5.095815672
111	5.057497091
112	5.025635418
113	4.991643016
114	4.948539166
115	4.909994437
116	4.8809332
117	4.854418626
118	4.822971356
119	4.785827099
120	4.752743489
121	4.711357352
122	4.680870126
123	4.647469064
124	4.620198557
125	4.591853342
126	4.549302472
127	4.518688145
128	4.483847405
129	4.445012075
130	4.414092701
131	4.381222235
132	4.353407058
133	4.327486854
134	4.30296444
135	4.275918371
136	4.241651217
137	4.211810789
138	4.186767237
139	4.157363165
140	4.134895537
141	4.10321848
142	4.073000305
143	4.046851772
144	4.021734838
145	3.989648883
146	3.96694468
147	3.944360552
148	3.919100778
149	3.895517851
150	3.87306234
151	3.853479639
152	3.828800034
153	3.806610519
154	3.787062281
155	3.762977336
156	3.74141814
157	3.71963276
158	3.708591841
159	3.688530042
160	3.663637206
161	3.642605396
162	3.617997474
163	3.597217741
164	3.587243382
165	3.574696988
166	3.548101736
